group,method,n,withdrawal_auroc,withdrawal_pr_auc,error_auroc,error_pr_auc,mean_error_rate
adults,kde_abs_max,800,0.5857512452246241,0.23877471256675833,0.4717363689661912,0.8885603522557726,0.8875
adults,kde_abs_mean,800,0.3787417186517723,0.13146695903154207,0.6301218161683279,0.9343812174112476,0.8875
adults,kde_abs_median,800,0.34329513032545095,0.10864572266634717,0.6296495342322976,0.9355982885095879,0.8875
adults,kde_abs_top10_mean,800,0.46095072295565553,0.19343996285983228,0.5803530714611427,0.9174966196457383,0.8875
adults,kde_abs_top3_mean,800,0.5546085400648,0.22669700245085228,0.4939417627516122,0.8944792620185975,0.8875
adults,kde_abs_top5_mean,800,0.5143261279558973,0.21744290863391194,0.5332063057781252,0.9035691084075564,0.8875
adults,kde_logratio_mean,800,0.7861840514531651,0.5619100470765244,0.3326981955572927,0.8480946309491947,0.8875
adults,kde_logratio_sum,800,0.7861840514531651,0.5619100470765244,0.3326981955572927,0.8480946309491947,0.8875
adults,kde_logratio_top5_net,800,0.7777938971903864,0.543476485976246,0.3434629665819816,0.8494604929629201,0.8875
adults,kde_meta_lr_logratio,800,0.7786159872334252,0.5904816451341509,0.343202397237965,0.8408572875705953,0.8875
adults,kde_meta_lr_signed,800,0.7700807582571692,0.5617853550547053,0.35266432154257055,0.8430705174234462,0.8875
adults,kde_signed_mean,800,0.6894071280042555,0.41708568975385824,0.43052569865155366,0.86628999776725,0.8875
adults,kde_signed_top5_net,800,0.6055297644953818,0.23989328274888128,0.4682105400299655,0.8885053750663646,0.8875
adults,kde_weighted_abs,800,0.360389767396876,0.11979233590243483,0.6467982541853952,0.9382800366253619,0.8875
adults,kde_weighted_logratio,800,0.7883843512742397,0.5884808803139256,0.33176991726923327,0.8468392447585131,0.8875
adults,kde_weighted_signed,800,0.6786836887663814,0.4087090343399785,0.4272360106833431,0.8640224366503195,0.8875
children,kde_abs_max,180,0.47374847374847373,0.418121499343499,0.6047175480769231,0.7540612265470987,0.6777777777777778
children,kde_abs_mean,180,0.42138108804775476,0.3378246664021112,0.6265024038461539,0.8045778809615991,0.6777777777777778
children,kde_abs_median,180,0.4257224257224257,0.33271069076377263,0.6110276442307693,0.7882761365532467,0.6777777777777778
children,kde_abs_top10_mean,180,0.43793243793243797,0.3840048525482378,0.6338641826923077,0.7788481552166704,0.6777777777777778
children,kde_abs_top3_mean,180,0.45963912630579296,0.4160777077315298,0.6293569711538464,0.7678703565371139,0.6777777777777778
children,kde_abs_top5_mean,180,0.44688644688644685,0.4061417839884366,0.6416766826923077,0.7744883974324065,0.6777777777777778
children,kde_logratio_mean,180,0.7817121150454484,0.6445551727041239,0.31896033653846156,0.6510144236439477,0.6777777777777778
children,kde_logratio_sum,180,0.7817121150454484,0.6445551727041239,0.31896033653846156,0.6510144236439477,0.6777777777777778
children,kde_logratio_top5_net,180,0.7735721069054402,0.6349180015779063,0.3273737980769231,0.6513447103278357,0.6777777777777778
