group,model,feature_set,fold,best_inner_auc,best_params
adults,LR,top10,16,0.7898995130866678,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,17,0.8121363070545852,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,18,0.816476226351917,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,19,0.8008006515430548,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
adults,LR,top10,20,0.777321596877306,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,21,0.792503921969852,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,22,0.8102184754233557,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,23,0.7795635917182878,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,24,0.8225800825938947,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,25,0.7977683914032901,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,26,0.7968720352698253,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,27,0.8176134813450652,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,28,0.809104511970534,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,29,0.7612555109102072,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,30,0.7641101391446696,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,31,0.7958377901172561,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,32,0.8164596393647958,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,33,0.7765552625704558,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,34,0.8322660304704503,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,35,0.7998289757612961,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,36,0.8076934554259599,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,37,0.7942006777411933,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,38,0.8052625704559406,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,39,0.7861801718845918,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,40,0.8064505940311649,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,41,0.7855032445386957,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,42,0.8141071937918163,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,43,0.7916771304202244,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,44,0.8174641790836542,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,45,0.769194980808701,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,46,0.7899376670325106,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,47,0.7847903335069542,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,48,0.8081331268485966,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,top10,49,0.8069716502036943,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,RF,full,0,0.8408094527224361,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,1,0.7804446397678442,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,2,0.7889237680674146,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,3,0.7586099252190412,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,4,0.7981943049277304,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,5,0.7800078749434182,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,6,0.7872049609043165,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,full,7,0.7588210217584065,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,8,0.7970834030916905,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,full,9,0.799447339416262,"{""clf__class_weight"": ""balanced"", ""clf__max_depth"": null}"
adults,RF,full,10,0.8093260141314929,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
