group,feature,withdrawal_n,reentry_n,withdrawal_minus_reentry_mean,mean_difference_ci95_low,mean_difference_ci95_high,welch_t,welch_p,cohen_d,bh_fdr_p,bh_fdr_reject_0_05
adults,Gender,122,678,-0.00045940325934523685,-0.0959818989402526,0.09506309242156212,-0.009494944216058917,0.992435567687518,-0.0009360957273649565,0.992435567687518,False
adults,Age,122,678,-0.08634363363799125,-0.4313155360396794,0.25862826876369693,-0.4941984385909374,0.6218252960573517,-0.0496762336417132,0.6362863494540343,False
adults,SCL-90 SOM,122,678,0.5858318422876669,0.4320070596581632,0.7396566249171707,7.535644097010958,7.783270861339422e-12,1.2930370271282303,2.014493634699615e-11,True
adults,SCL-90 OC,122,678,0.8775835388558446,0.6884915978364027,1.0666754798752867,9.179460071801952,7.148812291877723e-16,1.3623324061828679,3.4949748982513312e-15,True
adults,SCL-90 IS,122,678,0.7958261467618786,0.6182841482033989,0.9733681453203582,8.86514887175705,4.0328671483694436e-15,1.28476434278973,1.6131468593477774e-14,True
adults,SCL-90 DEP,122,678,1.1209030342934303,0.9006311169929158,1.3411749515939448,10.068216017703572,6.008384061854434e-18,1.6793344411101705,4.793847809918738e-17,True
adults,SCL-90 ANX,122,678,0.8371173654432034,0.6428045199646509,1.031430210921756,8.524117848702785,3.6375651721445495e-14,1.4499324243661094,1.1432347683882868e-13,True
adults,SCL-90 HOS,122,678,0.7206384899334266,0.5443037169929397,0.8969732628739135,8.085187223183963,3.771250741490241e-13,1.3094063231986608,1.0370939539098162e-12,True
adults,SCL-90 PHOB,122,678,0.5631385878012891,0.4060338335745796,0.7202433420279986,7.091587911441357,7.655884158698649e-11,1.1554783433408504,1.4646039260119156e-10,True
adults,SCL-90 PAR,122,678,0.7227984912229797,0.5563133620672905,0.8892836203786688,8.588690795819963,2.2728690655409477e-14,1.3611650228786751,7.692787606446285e-14,True
adults,SCL-90 PSY,122,678,0.7740485516707767,0.607833981149889,0.9402631221916644,9.214550493558608,7.95236214971921e-16,1.583152886339852,3.4990393458764523e-15,True
adults,SCL-90 ADD,122,678,0.897028040869619,0.72005452838405,1.0740015533551879,10.02707551937519,6.537065195343734e-18,1.5777723965048693,4.793847809918738e-17,True
adults,SCL-90 TS,122,678,72.53343972145655,57.53618027319905,87.53069916971404,9.568938062746788,1.0085446903854311e-16,1.5870005637013533,5.546995797119871e-16,True
adults,SCL-90 GSI,122,678,0.8059271080161841,0.6392908919244341,0.972563324107934,9.56893806274679,1.0085446903854011e-16,1.5870005637013538,5.546995797119871e-16,True
adults,SCL-90 PST,122,678,27.572803327046767,22.12493626465605,33.020670389437484,10.004277420485819,3.379650210823971e-18,1.2504747552487123,3.7176152319064235e-17,True
adults,SCL-90 NST,122,678,-27.572803327046763,-33.02067038943748,-22.12493626465605,-10.004277420485817,3.3796502108240214e-18,-1.2504747552487123,3.7176152319064235e-17,True
adults,SCL-90 PSDI,122,678,0.6885199121584109,0.5286331149002791,0.8484067094165427,8.50660785352481,1.4260844548878573e-14,0.9276375056113806,5.2289763345888095e-14,True
adults,EMBU-M EW,122,678,-6.376372164998308,-8.679928537238553,-4.072815792758064,-5.465752174006699,1.69337662778102e-07,-0.5537859056194472,2.4836190540788296e-07,True
adults,EMBU-M OI,122,678,3.401687702500123,1.4631435365044239,5.340231868495822,3.4663617670761897,0.0006828868451713158,0.37844143068710695,0.0008120816537172404,True
adults,EMBU-M REJ,122,678,1.9448232506407468,0.8532577652638789,3.0363887360176145,3.5213317852283503,0.0005738587390319945,0.4274299918338577,0.0007013829032613266,True
adults,EMBU-M PUN,122,678,1.3486870738430277,0.3259402636028472,2.371433884083208,2.605796356664032,0.010098248195061214,0.3038832120873742,0.011108073014567335,True
adults,EMBU-M FS,122,678,-0.7279607331108853,-1.7694872015667447,0.3135657353449741,-1.3792810159583029,0.16954103966528533,-0.12707748862565307,0.18194648159201351,False
adults,EMBU-F EW,122,678,-5.847889162918904,-8.403665290040333,-3.2921130357974744,-4.51693192925681,1.1731954527553407e-05,-0.43925518950754516,1.6131437475385933e-05,True
adults,EMBU-F PUN,122,678,2.4863387978142075,0.9153486576202694,4.057328938008146,3.1284348050620165,0.0021302815818356672,0.39297267156307597,0.0024033946051479323,True
adults,EMBU-F OI,122,678,2.056966004158806,0.9084431162250703,3.205488892092541,3.5386109747363954,0.0005349454881877205,0.4024969262969847,0.0006725028994359915,True
adults,EMBU-F FS,122,678,-0.5335122588132881,-1.512129896036787,0.4451053784102108,-1.0757908060629993,0.28346973729248115,-0.09848826722151033,0.2969682962111707,False
adults,EMBU-F REJ,122,678,1.4668504279704049,0.7385773753467768,2.1951234805940327,3.9800445485840594,0.00010736514139624542,0.4639028681263093,0.00014315352186166055,True
adults,EMBU-F OP,122,678,1.2659944871608868,0.5265071519010187,2.005481822420755,3.3821153849229604,0.0009127500628090307,0.3745717968726721,0.0010568684937788777,True
adults,CSES_TS,122,678,-10.734078050195851,-12.608580389172502,-8.8595757112192,-11.320295638774752,1.4859283954136654e-21,-1.4534175547561974,3.269042469910064e-20,True
adults,HEI_TS,122,678,10.65189322501088,8.828060574521752,12.475725875500009,11.554477761522689,1.1008758131095981e-21,1.8678784488641234,3.269042469910064e-20,True
adults,CSQ_PS,122,678,-0.1542930025629865,-0.20385964109240892,-0.10472636403356408,-6.155398055536906,7.761626334177803e-09,-0.8507670221191656,1.2196841382279405e-08,True
adults,CSQ_SB,122,678,0.19557280332704663,0.14158064788210184,0.24956495877199142,7.152989345967454,2.7864678825328152e-11,0.7347536568611801,6.452872991128625e-11,True
adults,CSQ_HS,122,678,-0.18996324773925233,-0.2421229185272403,-0.13780357695126436,-7.1956759548357585,2.6959341467304466e-11,-0.8152134109828946,6.452872991128625e-11,True
adults,CSQ_FAN,122,678,0.14073456163257425,0.08578208910680679,0.1956870341583417,5.056714276608301,1.127970353944493e-06,0.5083178620706935,1.6009901797921836e-06,True
adults,CSQ_REP,122,678,0.1282284619003028,0.08465074483610943,0.17180617896449615,5.808240589339542,2.999269426459786e-08,0.5561203493926167,4.550615681525192e-08,True
adults,CSQ_RAT,122,678,0.09235983804386538,0.046050483012796184,0.13866919307493458,3.93819248412016,0.00012141301190778351,0.40017415179373683,0.00015712272129242573,True
adults,SSRS_TS,122,678,-7.002877315150634,-8.721562182619946,-5.284192447681322,-8.040931337278636,1.2269741371050279e-13,-0.743629472633093,3.599124135508081e-13,True
adults,SSRS_SS,122,678,-4.021060012573145,-5.153100094462713,-2.8890199306835758,-7.009454870228943,4.750533282499732e-11,-0.6436853296499014,1.0451173221499412e-10,True
