group,method,metric,n_outer_folds,mean,sd,bootstrap_ci_low,bootstrap_ci_high,n_boot
adults,kde_abs_max,error_auroc,10,0.49417649966692156,0.055998215659667915,0.4613830677956869,0.5268219249407885,2000
adults,kde_abs_max,error_pr_auc,10,0.8885646875466063,0.029052043983100937,0.870450047124142,0.9046071216682238,2000
adults,kde_abs_max,withdrawal_auroc,10,0.5724233932461874,0.07492894410433282,0.5310446132897604,0.61803539624183,2000
adults,kde_abs_max,withdrawal_pr_auc,10,0.23774323057893515,0.06329995394629687,0.2060962294794091,0.2759672540924659,2000
adults,kde_abs_mean,error_auroc,10,0.6432752292113597,0.07036967455329049,0.6009544367238,0.6867350700362416,2000
adults,kde_abs_mean,error_pr_auc,10,0.9320551236031456,0.022729327914828436,0.9193420763023379,0.9453894272874542,2000
adults,kde_abs_mean,withdrawal_auroc,10,0.3775387527233115,0.09524051771291454,0.32040155296840955,0.43381738698257083,2000
adults,kde_abs_mean,withdrawal_pr_auc,10,0.15373028696751795,0.06194504068004331,0.12191485336702522,0.19350499968535637,2000
adults,kde_abs_median,error_auroc,10,0.6397789048742014,0.06221922750484616,0.6050259336399835,0.6775859555755235,2000
adults,kde_abs_median,error_pr_auc,10,0.9331981989440973,0.019581251576978174,0.9208736074558816,0.94444540845512,2000
adults,kde_abs_median,withdrawal_auroc,10,0.3476650190631808,0.07646482405392839,0.30146111928104574,0.39242450844226584,2000
adults,kde_abs_median,withdrawal_pr_auc,10,0.11768418733088344,0.014036845844149241,0.10925602078353948,0.12595530906566937,2000
adults,kde_abs_top10_mean,error_auroc,10,0.5948031311255707,0.05264226578382189,0.5648059161292327,0.6249234162534493,2000
adults,kde_abs_top10_mean,error_pr_auc,10,0.9177578538518469,0.02421034577177638,0.9036605850534787,0.9315912801033951,2000
adults,kde_abs_top10_mean,withdrawal_auroc,10,0.456737091503268,0.08296585927706446,0.4098656883169934,0.5078675319989105,2000
adults,kde_abs_top10_mean,withdrawal_pr_auc,10,0.20048793017661865,0.07427887159548728,0.1630586213228653,0.2478325204331919,2000
adults,kde_abs_top3_mean,error_auroc,10,0.5153645010538414,0.04978859425528806,0.4843905679137955,0.5456749116218081,2000
adults,kde_abs_top3_mean,error_pr_auc,10,0.8936601150934236,0.026312085407766826,0.8777218828114732,0.9074547598057235,2000
adults,kde_abs_top3_mean,withdrawal_auroc,10,0.5501301879084968,0.07352795949240955,0.5114585886437908,0.594145005106209,2000
adults,kde_abs_top3_mean,withdrawal_pr_auc,10,0.23954233599314295,0.07229333004250742,0.20234719468636148,0.28750105243344987,2000
adults,kde_abs_top5_mean,error_auroc,10,0.5469944550046045,0.05214538960805601,0.5161382528493205,0.5768530910959268,2000
adults,kde_abs_top5_mean,error_pr_auc,10,0.9023280478628747,0.025843062092415037,0.8864703899709867,0.9162867539077633,2000
adults,kde_abs_top5_mean,withdrawal_auroc,10,0.5142363153594772,0.07819596804043956,0.469314753880719,0.561683569921024,2000
adults,kde_abs_top5_mean,withdrawal_pr_auc,10,0.2268140583874298,0.0732869288510616,0.18881492346015438,0.2741246916164668,2000
adults,kde_logratio_mean,error_auroc,10,0.3197778858039585,0.09218077028243879,0.26857537490677097,0.3745003611625012,2000
adults,kde_logratio_mean,error_pr_auc,10,0.8381580252666346,0.04366279782786137,0.8122162746404114,0.8640492339574413,2000
adults,kde_logratio_mean,withdrawal_auroc,10,0.7853141612200435,0.07512836269356604,0.7413680065359477,0.8291581889978215,2000
adults,kde_logratio_mean,withdrawal_pr_auc,10,0.5716050295065498,0.09080734910929542,0.5180486183372581,0.6224078447003609,2000
adults,kde_logratio_sum,error_auroc,10,0.3197778858039585,0.09218077028243879,0.2685223915090262,0.3725390371279183,2000
adults,kde_logratio_sum,error_pr_auc,10,0.8381580252666346,0.04366279782786137,0.8116463813995023,0.8642704941481921,2000
adults,kde_logratio_sum,withdrawal_auroc,10,0.7853141612200435,0.07512836269356604,0.7399200762527234,0.8301627491830066,2000
adults,kde_logratio_sum,withdrawal_pr_auc,10,0.5716050295065498,0.09080734910929542,0.5182402097572906,0.621921581803564,2000
adults,kde_logratio_top5_net,error_auroc,10,0.3477506375736653,0.09797595289886553,0.29173407848279526,0.4067878804330412,2000
adults,kde_logratio_top5_net,error_pr_auc,10,0.8529202881106978,0.03861253135694244,0.8279992005942334,0.8740087334090364,2000
adults,kde_logratio_top5_net,withdrawal_auroc,10,0.7640861247276689,0.07709480033088376,0.7172844212962964,0.8095497034994553,2000
adults,kde_logratio_top5_net,withdrawal_pr_auc,10,0.5431519050311314,0.10960021449153241,0.4755968588239456,0.6042143288448429,2000
adults,kde_meta_lr_logratio,error_auroc,10,0.3314805039312402,0.10252354516938689,0.27032649203564324,0.3930193754438644,2000
adults,kde_meta_lr_logratio,error_pr_auc,10,0.8355874876185307,0.049606613998447395,0.8068825975200532,0.8631374973417457,2000
adults,kde_meta_lr_logratio,withdrawal_auroc,10,0.7773280773420479,0.07850509060428439,0.7294149019607843,0.8206626300381263,2000
adults,kde_meta_lr_logratio,withdrawal_pr_auc,10,0.5849098431385042,0.10711511856462341,0.5210970665397879,0.6461337992319124,2000
adults,kde_meta_lr_signed,error_auroc,10,0.3438298706790811,0.10518177075684058,0.2876786812518924,0.4065385490842493,2000
adults,kde_meta_lr_signed,error_pr_auc,10,0.8357512320807492,0.05084785716985899,0.8080464915364218,0.8647094349921475,2000
adults,kde_meta_lr_signed,withdrawal_auroc,10,0.7691158769063181,0.06413361972986453,0.7291398468137255,0.8056282250816993,2000
adults,kde_meta_lr_signed,withdrawal_pr_auc,10,0.5576871051973475,0.08512304742310103,0.5085671790440226,0.6082048079363317,2000
adults,kde_signed_mean,error_auroc,10,0.42387012041220384,0.0836430558825169,0.37175705748669413,0.46692466182335957,2000
adults,kde_signed_mean,error_pr_auc,10,0.860606140551812,0.03981161709790555,0.8365655024279901,0.8826835745253511,2000
adults,kde_signed_mean,withdrawal_auroc,10,0.6869193899782136,0.04744163052389796,0.659772181372549,0.7171751150599129,2000
adults,kde_signed_mean,withdrawal_pr_auc,10,0.42646259176388857,0.06807803963614989,0.3853713008632392,0.4668052223699572,2000
adults,kde_signed_top5_net,error_auroc,10,0.4701102532106137,0.08893579880086126,0.4184480643521397,0.5236687625482005,2000
adults,kde_signed_top5_net,error_pr_auc,10,0.8839762704043604,0.03666342253181569,0.8626311409310315,0.9056201351941664,2000
adults,kde_signed_top5_net,withdrawal_auroc,10,0.6011954112200436,0.055082142392319705,0.5718768647875816,0.6343260481345315,2000
adults,kde_signed_top5_net,withdrawal_pr_auc,10,0.2542644465473005,0.045370617430553366,0.22800378882706712,0.2811909062592921,2000
adults,kde_weighted_abs,error_auroc,10,0.6608646098733797,0.0722728637164434,0.6172849441405857,0.7011770916249399,2000
adults,kde_weighted_abs,error_pr_auc,10,0.9367468439945021,0.022924954669750634,0.9234908238117078,0.9499450549232554,2000
adults,kde_weighted_abs,withdrawal_auroc,10,0.35663382352941175,0.07406628025673823,0.31270949142156856,0.40100271105664487,2000
adults,kde_weighted_abs,withdrawal_pr_auc,10,0.14198563348232823,0.05611718779560872,0.11273302104222037,0.17948857967521956,2000
adults,kde_weighted_logratio,error_auroc,10,0.3143834288068902,0.09448310183095764,0.2606106293329251,0.3702027959262488,2000
adults,kde_weighted_logratio,error_pr_auc,10,0.8372012054948019,0.04370192293512169,0.8107252916292822,0.8621607155795518,2000
adults,kde_weighted_logratio,withdrawal_auroc,10,0.7902804193899782,0.07685213847219642,0.744031141748366,0.8347600898692812,2000
adults,kde_weighted_logratio,withdrawal_pr_auc,10,0.5900133931483132,0.09566980222064929,0.5341171493639945,0.6447561873159139,2000
adults,kde_weighted_signed,error_auroc,10,0.42513014838338864,0.08134780779743096,0.3736555392778218,0.4683240113361373,2000
